iter	Passed	Remaining
404	7015	10306
405	7028	10282
406	7040	10258
407	7053	10233
408	7065	10209
409	7077	10184
410	7091	10162
411	7106	10142
412	7124	10126
413	7143	10111
414	7157	10088
415	7170	10065
416	7182	10042
417	7195	10018
418	7208	9994
419	7221	9972
420	7234	9949
421	7245	9923
422	7258	9901
423	7271	9878
424	7284	9856
425	7297	9833
426	7309	9808
427	7325	9789
428	7346	9777
429	7359	9755
430	7373	9734
431	7388	9714
432	7403	9694
433	7419	9675
434	7433	9655
435	7447	9633
436	7459	9609
437	7471	9586
438	7484	9564
439	7496	9540
440	7508	9517
441	7520	9494
442	7534	9473
443	7551	9455
444	7567	9437
445	7589	9427
446	7608	9412
447	7620	9389
448	7633	9367
449	7647	9347
450	7659	9324
451	7673	9303
452	7688	9283
453	7700	9261
454	7716	9242
455	7730	9222
456	7746	9204
457	7767	9191
458	7786	9177
459	7799	9156
460	7814	9136
461	7828	9116
462	7843	9097
463	7857	9076
464	7871	9056
465	7885	9036
466	7899	9016
467	7912	8994
468	7925	8973
469	7939	8953
470	7952	8931
471	7968	8913
472	7989	8901
473	8004	8882
474	8018	8862
475	8032	8842
476	8045	8821
477	8059	8801
478	8074	8782
479	8088	8762
480	8102	8742
481	8114	8720
482	8126	8698
483	8138	8677
484	8152	8656
485	8167	8637
486	8184	8621
487	8204	8607
488	8219	8588
489	8233	8569
490	8247	8550
491	8260	8529
492	8272	8507
493	8286	8487
494	8301	8468
495	8315	8449
496	8328	8429
497	8340	8407
498	8353	8387
499	8367	8367
500	8382	8348
501	8401	8334
502	8419	8318
503	8431	8297
504	8444	8277
505	8455	8255
506	8467	8233
507	8480	8213
508	8492	8191
509	8506	8172
510	8518	8151
511	8532	8132
512	8545	8112
513	8557	8091
514	8568	8069
515	8581	8049
516	8595	8030
517	8614	8015
518	8630	7998
519	8644	7979
520	8659	7961
521	8674	7943
522	8687	7923
523	8699	7902
524	8712	7882
525	8726	7863
526	8741	7845
527	8756	7827
528	8770	7809
529	8784	7790
530	8798	7770
531	8812	7752
532	8830	7737
533	8849	7722
534	8861	7702
535	8874	7682
536	8887	7663
537	8903	7645
538	8918	7628
539	8931	7608
540	8946	7590
541	8959	7571
542	8975	7553
543	8989	7534
544	9003	7516
545	9017	7498
546	9035	7482
547	9052	7466
548	9069	7450
549	9084	7432
550	9098	7414
551	9112	7395
552	9124	7375
553	9135	7354
554	9151	7337
555	9165	7319
556	9178	7300
557	9192	7281
558	9204	7261
559	9217	7242
560	9230	7223
561	9245	7205
562	9261	7188
563	9279	7173
564	9293	7155
565	9307	7136
566	9320	7117
567	9334	7099
568	9348	7081
569	9363	7063
570	9376	7045
571	9390	7026
572	9408	7011
573	9424	6994
574	9438	6976
575	9455	6960
576	9476	6946
577	9495	6932
578	9510	6914
579	9526	6898
580	9541	6881
581	9557	6864
582	9572	6846
583	9585	6828
584	9598	6809
585	9612	6791
586	9626	6773
587	9643	6756
588	9657	6738
589	9673	6722
590	9692	6707
591	9707	6690
592	9721	6672
593	9737	6655
594	9750	6637
595	9763	6618
596	9776	6599
597	9789	6580
598	9802	6562
599	9820	6546
600	9833	6528
601	9846	6509
602	9858	6490
603	9871	6471
604	9885	6454
605	9903	6439
606	9922	6424
607	9936	6406
608	9950	6388
609	9963	6369
610	9974	6350
611	9986	6331
612	10000	6313
613	10012	6294
614	10024	6275
615	10035	6256
616	10047	6237
617	10062	6219
618	10075	6201
619	10088	6183
620	10111	6171
621	10131	6156
622	10146	6139
623	10158	6121
624	10173	6103
625	10186	6085
626	10200	6067
627	10216	6051
628	10230	6034
629	10244	6016
630	10257	5998
631	10271	5980
632	10283	5961
633	10297	5944
634	10317	5930
635	10334	5914
636	10347	5896
637	10361	5878
638	10374	5861
639	10388	5843
640	10401	5825
641	10413	5807
642	10429	5790
643	10442	5772
644	10456	5755
645	10470	5737
646	10483	5719
647	10496	5701
648	10511	5684
649	10533	5671
650	10555	5658
651	10569	5641
652	10582	5623
653	10595	5605
654	10607	5587
655	10622	5570
656	10640	5555
657	10654	5537
658	10669	5520
659	10685	5504
660	10703	5489
661	10723	5474
662	10742	5460
663	10762	5446
664	10800	5441
665	10817	5424
666	10830	5407
667	10842	5389
668	10855	5371
669	10869	5353
670	10881	5335
671	10893	5317
672	10905	5298
673	10919	5281
674	10935	5265
675	10954	5250
676	10969	5233
677	10983	5216
678	10995	5198
679	11007	5179
680	11018	5161
681	11033	5144
682	11046	5126
683	11060	5109
684	11075	5093
685	11089	5075
686	11103	5058
687	11117	5041
688	11132	5024
689	11147	5008
690	11165	4992
691	11188	4979
692	11200	4962
693	11216	4945
694	11229	4927
695	11242	4910
696	11255	4893
697	11268	4875
698	11280	4857
699	11294	4840
700	11308	4823
701	11322	4806
702	11335	4788
703	11348	4771
704	11363	4754
705	11380	4739
706	11398	4723
707	11413	4707
708	11426	4689
709	11443	4674
710	11457	4657
711	11470	4639
712	11483	4622
713	11497	4605
714	11510	4588
715	11524	4571
716	11541	4555
717	11555	4538
718	11570	4521
719	11586	4505
720	11607	4491
721	11621	4474
722	11637	4458
723	11651	4441
724	11665	4424
725	11680	4408
726	11694	4391
727	11706	4374
728	11719	4356
729	11732	4339
730	11746	4322
731	11760	4305
732	11772	4288
733	11789	4272
734	11810	4258
735	11823	4240
736	11837	4224
737	11851	4207
738	11864	4190
739	11879	4173
740	11892	4156
741	11905	4139
742	11919	4122
743	11934	4106
744	11949	4090
745	11964	4073
746	11978	4056
747	11992	4040
748	12008	4024
749	12028	4009
750	12042	3992
751	12054	3975
752	12066	3958
753	12079	3940
754	12092	3924
755	12106	3907
756	12119	3890
757	12132	3873
758	12144	3856
759	12157	3839
760	12171	3822
761	12185	3805
762	12200	3789
763	12215	3773
764	12230	3757
765	12244	3740
766	12259	3724
767	12273	3707
768	12286	3690
769	12298	3673
770	12311	3656
771	12325	3640
772	12338	3623
773	12354	3607
774	12367	3590
775	12380	3573
776	12392	3556
777	12406	3540
778	12424	3524
779	12444	3509
780	12458	3493
781	12471	3476
782	12485	3460
783	12500	3443
784	12513	3427
785	12526	3410
786	12538	3393
787	12551	3376
788	12565	3360
789	12579	3343
790	12593	3327
791	12606	3310
792	12619	3294
793	12638	3278
794	12654	3263
795	12672	3247
796	12688	3231
797	12701	3215
798	12714	3198
799	12727	3181
800	12740	3165
801	12752	3148
802	12765	3131
803	12781	3115
804	12799	3100
805	12812	3083
806	12826	3067
807	12843	3051
808	12859	3036
809	12876	3020
810	12890	3004
811	12903	2987
812	12914	2970
813	12926	2953
814	12939	2937
815	12951	2920
816	12962	2903
817	12977	2887
818	12989	2870
819	13002	2854
820	13014	2837
821	13027	2821
822	13045	2805
823	13063	2790
824	13079	2774
825	13097	2759
826	13112	2743
827	13126	2726
828	13139	2710
829	13155	2694
830	13174	2679
831	13201	2665
832	13220	2650
833	13245	2636
834	13272	2622
835	13294	2608
836	13321	2594
837	13338	2578
838	13355	2562
839	13372	2547
840	13390	2531
841	13410	2516
842	13428	2500
843	13446	2485
844	13463	2469
845	13489	2455
846	13513	2441
847	13536	2426
848	13553	2410
849	13570	2394
850	13588	2379
851	13606	2363
852	13626	2348
853	13645	2332
854	13662	2317
855	13680	2301
856	13704	2286
857	13727	2271
858	13747	2256
859	13763	2240
860	13779	2224
861	13794	2208
862	13808	2192
863	13821	2175
864	13833	2158
865	13846	2142
866	13858	2125
867	13869	2109
868	13882	2092
869	13896	2076
870	13912	2060
871	13926	2044
872	13939	2027
873	13951	2011
874	13963	1994
875	13975	1978
876	13989	1962
877	14002	1945
878	14015	1929
879	14028	1912
880	14041	1896
881	14052	1880
882	14064	1863
883	14079	1847
884	14095	1831
885	14112	1815
886	14132	1800
887	14150	1784
888	14162	1768
889	14174	1751
890	14187	1735
891	14201	1719
892	14215	1703
893	14228	1687
894	14240	1670
895	14255	1654
896	14268	1638
897	14282	1622
898	14295	1606
899	14307	1589
900	14321	1573
901	14336	1557
902	14353	1541
903	14366	1525
904	14378	1509
905	14393	1493
906	14405	1477
907	14421	1461
908	14433	1444
909	14447	1428
910	14460	1412
911	14472	1396
912	14484	1380
913	14499	1364
914	14514	1348
915	14527	1332
916	14547	1316
917	14570	1301
918	14593	1286
919	14613	1270
920	14633	1255
921	14653	1239
922	14679	1224
923	14696	1208
924	14712	1192
925	14728	1177
926	14745	1161
927	14764	1145
928	14781	1129
929	14808	1114
930	14824	1098
931	14847	1083
932	14866	1067
933	14886	1051
934	14908	1036
935	14928	1020
936	14955	1005
937	14974	989
938	14995	974
939	15015	958
940	15031	942
941	15044	926
942	15065	910
943	15080	894
944	15094	878
945	15109	862
946	15123	846
947	15137	830
948	15150	814
949	15161	797
950	15174	781
951	15189	765
952	15207	749
953	15222	734
954	15251	718
955	15287	703
956	15305	687
957	15333	672
958	15347	656
959	15358	639
960	15371	623
961	15385	607
962	15399	591
963	15417	575
964	15436	559
965	15449	543
966	15461	527
967	15473	511
968	15487	495
969	15500	479
970	15513	463
971	15524	447
972	15537	431
973	15551	415
974	15564	399
975	15578	383
976	15590	367
977	15602	350
978	15617	335
979	15639	319
980	15653	303
981	15667	287
982	15679	271
983	15691	255
984	15704	239
985	15716	223
986	15729	207
987	15741	191
988	15753	175
989	15765	159
990	15777	143
991	15789	127
992	15801	111
993	15812	95
994	15826	79
995	15843	63
996	15857	47
997	15870	31
998	15888	15
999	15904	0
